site_code,project_code,project_title,site_type,subtype,stage,target_group_name,commodity_group_name,development_region,lga_name,longitude,latitude,active_flag
S0233080,J04723,Sandy Ridge Kaolin / Tellus,Mine,Openpit,Under Development,CLAYS,Industrial mineral,"GOLDFIELDS-ESPERANCE, Development Region","COOLGARDIE, SHIRE OF",120.085354,-30.35609,Y
S0234476,J00147,Deflector,Mine,Decline,Operating,GOLD,Precious metal,"MID-WEST, Development Region","YALGOO, SHIRE OF",116.379451,-28.668979,Y
S0000033,J00017,Cue Gold - Central Murchison,Mine,Decline,Operating,GOLD,Precious metal,"MID-WEST, Development Region","CUE, SHIRE OF",117.655367,-27.318646,Y
S0000793,J00367,Youanmi Gold - OYG,Mine,Decline,Shut,GOLD,Precious metal,"MID-WEST, Development Region","SANDSTONE, SHIRE OF",118.839978,-28.610085,Y
S0000866,J00191,Ravensthorpe Gold,Mine,Decline,Proposed,GOLD,Precious metal,"GOLDFIELDS-ESPERANCE, Development Region","RAVENSTHORPE, SHIRE OF",120.196414,-33.681787,Y
S0001256,J00527,Golden Grove,Mine,Decline,Operating,COPPER - LEAD - ZINC,Base metal,"MID-WEST, Development Region","YALGOO, SHIRE OF",116.962417,-28.765074,Y
S0001758,J00789,Barrambie Vanadium-Titanium,Mine,Openpit,Proposed,VANADIUM - TITANIUM,Steel alloy metal,"MID-WEST, Development Region","SANDSTONE, SHIRE OF",119.121109,-27.433228,Y
S0001764,J00793,Windimurra Vanadium,Mine,Openpit,Proposed,VANADIUM - TITANIUM,Steel alloy metal,"MID-WEST, Development Region","MOUNT MAGNET, SHIRE OF",118.529969,-28.291607,Y
S0001774,J00800,Australian Vanadium project  - Gabanintha,Mine,Openpit,Proposed,VANADIUM - TITANIUM,Steel alloy metal,"MID-WEST, Development Region","MEEKATHARRA, SHIRE OF",118.646265,-26.967599,Y
S0001820,J02784,Mt Mulgine Tungsten,Deposit,Unspecified,Undeveloped,TUNGSTEN - MOLYBDENUM,Steel alloy metal,"MID-WEST, Development Region","PERENJORI, SHIRE OF",116.961847,-29.172054,Y
S0002167,J01005,Mt Cattlin Spodumene,Mine,Openpit,Care And Maintenance,TIN - TANTALUM - LITHIUM,Speciality metal,"GOLDFIELDS-ESPERANCE, Development Region","RAVENSTHORPE, SHIRE OF",120.033992,-33.562492,Y
S0003180,J00245,Mt Gibson Gold,Deposit,Unspecified,Undeveloped,GOLD,Precious metal,"MID-WEST, Development Region","YALGOO, SHIRE OF",117.181672,-29.720641,Y
S0004178,J00757,Forrestania Nickel / Western Areas,Infrastructure,Processing Plant,Care And Maintenance,NICKEL,Steel alloy metal,"WHEATBELT, Development Region","KONDININ, SHIRE OF",119.742808,-32.580907,Y
S0006503,J05290,Central Sandstone / Aurumin,Mine,Openpit,Proposed,GOLD,Precious metal,"MID-WEST, Development Region","SANDSTONE, SHIRE OF",119.248976,-28.095717,Y
S0006685,J02145,Ravensthorpe - First Quantum,Mine,Openpit,Care And Maintenance,NICKEL,Steel alloy metal,"GOLDFIELDS-ESPERANCE, Development Region","RAVENSTHORPE, SHIRE OF",120.325462,-33.576402,Y
