site_code,project_code,project_title,title,short_title,site_type,subtype,stage,target_group_name,commodity_group_name,development_region,lga_name,longitude,latitude,active_flag
S0234792,J05000,Muchea Silica Sand / VRX Silica,Muchea Silica Sand,Muchea Silica Sand,Mine,Unspecified,Proposed,Silica - Silica Sand,Industrial Mineral,Wheatbelt,Shire Of Chittering,115.882222,-31.494624,Y
S0235008,J03557,Bulong South Gold,Cannon Underground,Cannon UG,Mine,Decline,Proposed,Gold,Precious Metal,Goldfields-Esperance,City Of Kalgoorlie-Boulder,121.762912,-30.816281,Y
S0235708,J05140,Ashburton Salt / K+S,Ashburton Salt Crystalliser Pond,Ashburton Salt Crystalliser Pond,Mine,Pond,Proposed,Salt,Industrial Mineral,Pilbara,Shire Of Ashburton,114.730736,-21.875367,Y
S0235993,J02889,Roy Hill Iron Ore,Sierra - Roy Hill,Sierra Pits,Mine,Openpit,Operating,Iron Ore,Iron,Pilbara,Shire Of East Pilbara,120.011530,-22.557201,Y
S0236066,J05265,Mardie Salt-Potash / BCI,Mardie Evaporation Pond P8,Mardie Pond 8,Mine,Pond,Under Development,Salt,Industrial Mineral,Pilbara,City Of Karratha,115.926501,-21.113907,Y
S0236157,J05298,Warradarge Wind Farm,Warradarge Wind Farm,Warradarge Wind,Infrastructure,Power Plant,Operating,Other,Energy,Mid-West,Shire Of Coorow,115.487900,-29.970500,Y
S0236158,J03221,Albany and Grasmere Wind Farms,Grasmere Wind Farm,Grasmere Wind,Infrastructure,Power Plant,Operating,Other,Energy,Great Southern,City Of Albany,117.759897,-35.044479,Y
S0236179,J05301,Yandin Wind Farm,Yandin Wind Farm,Yandin Wind Farm,Infrastructure,Power Plant,Operating,Other,Energy,Wheatbelt,Shire Of Dandaragan,115.613492,-30.757824,Y
S0236189,J02419,Thunderbox Gold,Thunderbox Underground,Thunderbox UG,Mine,Decline,Operating,Gold,Precious Metal,Goldfields-Esperance,Shire Of Leonora,121.007295,-28.195991,Y
S0236200,J04090,Greenbushes Lithium,Kemerton Lithium Hydroxide Plant / Albemarle,Lithium Plant/Albemarle,Infrastructure,Processing Plant,Care And Maintenance,Tin - Tantalum - Lithium,Speciality Metal,South West,Shire Of Harvey,115.762011,-33.203986,Y
S0236255,J05002,Beyondie Potash / Kalium Lakes,Beyondie Trial Evaporation Ponds,Beyondie Trial Evaporation Ponds,Infrastructure,Pond,Care And Maintenance,Potash,Industrial Mineral,Mid-West,Shire Of Wiluna,120.353831,-24.752342,Y
S0236281,J02285,Mt Marion Lithium,Mt Marion North Pit,MMN,Mine,Openpit,Operating,Tin - Tantalum - Lithium,Speciality Metal,Goldfields-Esperance,Shire Of Coolgardie,121.460085,-31.077395,Y
S0236298,J05329,Tubridgi Underground Gas Storage Facility,Tubridgi Gas Storage Facility,Tubridgi Gas Storage,Infrastructure,Processing Plant,Operating,Petroleum,Energy,Pilbara,Shire Of Ashburton,114.866710,-21.783932,Y
S0236299,J05330,Mondarra Underground Gas Storage Facility,Mondarra Storage Facility and Load-out Facilities,Mondarra Gas Storage,Infrastructure,Processing Plant,Operating,Petroleum,Energy,Mid-West,Shire Of Irwin,115.117841,-29.309984,Y
S0236372,J01772,Garden Gully / New Murchison,Crown Prince West,Crown Prince W,Mine,Openpit,Operating,Gold,Precious Metal,Mid-West,Shire Of Meekatharra,118.464348,-26.448724,Y
S0236468,J00184,Aldiss - Karonie,Karonie Main Zone South,Karonie Main Zone South,Mine,Openpit,Operating,Gold,Precious Metal,Goldfields-Esperance,City Of Kalgoorlie-Boulder,122.560084,-31.039246,Y
S0236504,J03644,Iron Bridge,North Star - Eastern Limb Central,Eastern Limb Central,Mine,Openpit,Operating,Iron Ore,Iron,Pilbara,Shire Of East Pilbara,119.060195,-21.249474,Y
S0236531,J00098,Agnew - Emu,Agnew - Waroonga Power Plant,Power Plant,Infrastructure,Power Plant,Operating,Other,Energy,Goldfields-Esperance,Shire Of Leonora,120.513421,-27.997230,Y
S0236617,J05392,Paterson / Greatland Resources,Havieron Underground,Havieron UG,Mine,Decline,Under Development,Gold,Precious Metal,Pilbara,Shire Of East Pilbara,122.640676,-21.727803,Y
S0236664,J01858,Yamarna / Gold Road,Gilmour - Wanderrie Camp,Gilmour - Wanderrie Camp,Deposit,Unspecified,Undeveloped,Gold,Precious Metal,Goldfields-Esperance,Shire Of Laverton,123.764018,-28.337695,Y
S0236665,J04872,Mt Holland Lithium / Wesfarmers & SQM,Kwinana Lithium Hydroxide Refinery / Western Australia Lithium,Kwinana LiOH/WAL,Infrastructure,Processing Plant,Operating,Tin - Tantalum - Lithium,Speciality Metal,Metro,City Of Kwinana,115.770401,-32.218743,Y
S0236793,J04132,Tarmoola Aggregate / MLG Oz,Tarmoola West Stockpiles,Tarmoola West Stockpiles,Mine,Stockpile,Operating,Construction Materials,Construction Material,Goldfields-Esperance,Shire Of Leonora,121.157925,-28.667398,Y
S0236948,J05434,Arrowsmith North Silica Sand / VRX Silica,Arrowsmith North,Arrowsmith North,Mine,Openpit,Proposed,Silica - Silica Sand,Industrial Mineral,Mid-West,Shire Of Irwin,115.110385,-29.512872,Y
